PANID,PANTYPE,PreTaxInc,FamSize,HH_Race,Type_Res_Poss,Male_Age,Male_Edu,Male_Occ,Male_Whc,Female_Age,Female_Edu,Female_Occ,Female_Whc,Dogs,Cats,Child_GC,Marital,TV_used,TV_hooked,Year,monetary,frequency,recency,loyality_All,loyality,CLUSTER,DISTANCE
1806885,0,1,1,1,1,7,9,11,5,6,3,10,4,0,0,8,1,,,1,3.77,1,20,0.2,-0.770919878,4,0.8685033804
1807156,0,10,2,1,2,7,9,11,5,6,5,1,3,0,0,8,3,,,1,5.79,1,26,0.2,-0.770919878,4,0.5424711748
1807578,0,3,1,1,1,7,9,11,5,6,4,10,4,0,0,8,4,,,1,5.79,1,12,0.1428571429,-0.95194725,4,0.9677259447
1808097,0,5,2,1,2,6,6,10,4,6,4,10,4,1,0,8,2,,,1,5.79,1,24,0.5,0.1794738262,4,0.9651034592
1808188,0,4,3,1,2,7,9,11,5,3,4,1,3,1,0,3,4,,,1,5.79,1,38,0.1111111111,-1.052518012,4,1.2300599466
1808485,0,11,4,1,2,4,7,1,3,4,7,1,3,0,2,3,2,,,1,3.39,1,24,0.2,-0.770919878,4,1.0655322688
1808717,0,10,3,1,2,5,6,1,3,5,4,13,1,0,0,8,2,,,1,5.79,1,4,0.25,-0.612520927,4,1.4317028567
1809079,0,9,5,1,2,4,8,1,3,4,7,1,3,0,0,6,2,,,1,5.49,1,6,0.03125,-1.305516336,4,1.4116895922
1809434,0,3,1,1,2,7,9,11,5,6,6,10,4,1,0,8,4,,,1,5.29,1,38,0.25,-0.612520927,4,1.0889917866
1809574,0,10,3,1,2,4,4,2,3,4,4,4,3,0,1,8,2,,,1,5.49,1,6,0.0714285714,-1.178231465,4,1.3574061496
1809699,0,6,2,1,1,7,9,11,5,5,7,4,3,1,2,8,3,,,1,5.64,2,6,0.3333333333,-0.348522676,4,1.2950339607
1809780,0,10,3,1,2,4,4,6,3,4,4,8,2,1,1,3,2,,,1,5.64,2,12,0.1333333333,-0.982118478,4,0.9236235817
1809814,0,8,5,1,2,4,4,1,3,4,7,1,2,0,0,3,2,,,1,5.29,1,36,0.0625,-1.206516992,4,1.1018221492
1809848,6,7,3,1,2,7,9,11,5,4,4,4,3,2,4,8,3,3,3,1,4.57,2,9,0.1052631579,-1.071044205,4,1.1316980067
1809889,0,7,6,1,2,3,4,13,1,3,4,13,1,1,1,5,2,,,1,5.49,1,6,0.0588235294,-1.218163974,4,1.3733976964
1809996,0,12,3,1,2,6,8,2,3,5,7,13,1,0,0,8,2,,,1,4.89,3,19,0.3333333333,-0.348522676,4,0.6761624542
1810374,0,3,3,2,2,6,3,10,4,5,4,13,1,0,1,8,0,,,1,5.39,2,6,0.1428571429,-0.95194725,4,1.2635037465
1810416,6,10,3,1,2,5,7,1,3,5,5,1,3,2,0,8,2,4,3,1,5.54,2,4,0.1176470588,-1.031812267,4,1.4329219607
1810655,6,7,3,1,2,7,9,11,5,3,5,2,3,0,1,2,5,2,2,1,5.14,2,5,0.1111111111,-1.052518012,4,1.345051874
1811919,0,7,2,1,2,6,4,13,1,6,4,13,1,0,0,8,2,,,1,5.79,1,17,0.5,0.1794738262,4,1.0534153062
1812354,0,5,2,1,2,7,9,11,5,5,4,4,3,3,0,8,3,,,1,5.29,1,19,0.25,-0.612520927,4,0.390162742
1812776,0,7,2,1,2,5,5,6,3,5,5,4,3,0,1,8,2,,,1,5.79,1,29,0.1111111111,-1.052518012,4,0.7577235142
1813311,0,10,1,1,2,7,9,11,5,6,5,1,3,1,0,8,3,,,1,5.99,1,47,0.2,-0.770919878,4,1.7980173724
1814806,0,8,3,1,2,5,4,1,3,5,6,13,1,0,2,8,2,,,1,3.39,1,29,0.3333333333,-0.348522676,4,1.1768577581
1815209,6,9,2,1,2,4,4,5,3,4,4,4,3,1,2,8,2,1,1,1,5.89,2,13,0.4,-0.137324075,4,1.0139567705
1815506,0,9,3,1,2,6,8,13,1,6,7,13,1,0,2,8,2,,,1,5.99,2,48,0.6666666667,0.7074703283,4,2.2970602199
1815548,0,7,3,1,1,4,4,6,3,3,4,1,3,2,0,3,2,,,1,5.79,1,28,0.1111111111,-1.052518012,4,0.7209305905
1816116,0,3,1,1,2,6,6,10,4,7,9,11,5,0,0,8,3,,,1,5.29,1,18,0.3333333333,-0.348522676,4,0.5365487642
1816132,0,3,1,1,1,7,9,11,5,3,3,13,1,0,1,8,3,,,1,5.99,1,47,0.1666666667,-0.876519178,4,1.8081093722
1816280,0,4,1,1,1,7,9,11,5,6,6,10,4,0,1,8,4,,,1,4.29,2,18,0.5,0.1794738262,4,1.0356716385
1816397,0,7,4,1,2,4,7,2,3,4,4,13,1,0,1,8,2,,,1,5.29,2,45,0.2,-0.770919878,4,1.566937477
3101022,6,9,2,1,2,5,7,1,2,4,8,2,3,0,0,8,2,2,2,1,4.89,1,37,0.3333333333,-0.348522676,4,1.0633473644
3101204,6,7,1,1,1,7,9,11,5,3,5,3,3,1,1,8,1,3,2,1,4.75,1,51,0.3333333333,-0.348522676,4,2.0214745869
3101634,6,9,4,1,2,3,4,7,3,3,5,3,3,0,0,4,2,3,3,1,3.88,1,2,0.25,-0.612520927,4,1.6746896838
3101774,5,4,1,1,1,7,9,11,5,6,4,10,4,0,0,8,2,2,2,1,2.98,1,28,0.5,0.1794738262,4,1.582824401
3101808,6,12,2,1,2,4,7,2,3,4,6,2,3,0,0,8,2,4,4,1,5.15,2,37,0.1818181818,-0.828519496,4,1.0123820726
3103275,6,11,2,3,2,5,5,2,3,5,5,3,2,1,0,8,2,3,3,1,4.58,1,33,0.0909090909,-1.116517588,4,0.9265814557
3103432,6,9,4,1,2,4,4,3,3,4,6,2,3,1,2,8,2,7,7,1,5.39,3,10,0.2727272727,-0.540521404,4,1.0798131056
3103739,6,11,2,1,2,5,8,1,3,4,7,4,3,0,0,8,2,4,4,1,2.98,1,15,0.25,-0.612520927,4,1.4204764388
3103903,5,12,3,1,2,3,7,1,3,2,5,4,3,0,1,1,2,4,4,1,3.2133333333,3,2,0.25,-0.612520927,4,1.9439805128
3104372,5,12,5,1,2,3,6,7,3,4,5,7,3,1,0,3,3,3,3,1,2.88,1,18,0.125,-1.008518304,4,1.4515295377
3104414,6,6,4,1,2,2,7,2,3,3,4,4,2,0,0,2,1,1,0,1,4.58,1,32,0.1428571429,-0.95194725,4,0.7988802301
3104810,6,9,4,1,2,4,5,2,3,4,5,1,3,3,2,3,2,5,5,1,3.33,1,46,0.25,-0.612520927,4,1.9554266364
3105460,5,10,4,1,2,4,7,7,3,4,5,1,2,0,1,6,2,3,2,1,3.49,1,50,0.1666666667,-0.876519178,4,2.1612460246
3106088,5,12,2,1,2,5,8,1,3,5,8,1,3,1,0,8,2,1,1,1,4.99,1,22,0.5,0.1794738262,4,0.867591569
3106195,5,10,3,1,2,5,8,2,3,5,7,1,3,1,0,8,2,3,1,1,4.99,1,30,0.2,-0.770919878,4,0.5587498288
3106872,6,7,2,1,2,5,6,7,3,5,3,10,4,3,1,8,2,2,2,1,4.58,1,32,0.5,0.1794738262,4,1.112761814
3107649,5,9,3,1,2,4,7,2,3,4,5,1,2,0,0,3,2,4,4,1,4.75,1,42,0.0833333333,-1.140517429,4,1.458376049
3107672,6,4,6,1,2,7,9,11,5,6,7,10,4,1,0,8,3,2,2,1,5.37,1,22,0.5,0.1794738262,4,0.8826657467
3107839,6,1,2,1,2,6,0,13,1,6,3,13,1,0,0,8,2,1,1,1,4.58,1,32,0.5,0.1794738262,4,1.112761814
3108498,5,7,4,1,2,2,4,7,3,2,5,2,3,0,0,4,2,4,1,1,2.88,1,18,0.2,-0.770919878,4,1.4119811954
