PANID,monetary,frequency,recency,loyality_tide,loyality_All,CLUSTER,DISTANCE
1112656,7.5953846154,13,0,0,0,6,7.6793300821
1112706,6.99,1,36,1,0,4,5.8807809514
1112805,5.7633333333,21,3,0,0.0476190476,6,1.5190633394
1112920,3.99,1,4,1,0,7,6.1109222268
1113068,7.08,1,13,0,0,7,6.3984908907
1113142,6.29,4,19,0,0.25,5,10.510010186
1113225,5.29,1,19,0,1,5,10.778944151
1113274,4.3757142857,7,12,0.8333333333,0,7,4.8385494861
1113282,9.3566666667,3,4,0,0,7,5.518504137
1113423,7.9335714286,14,0,0.5833333333,0.3333333333,6,6.7998555073
1113472,6.99,1,35,0,0,5,6.7022613437
1113589,15.398181818,11,0,0.9090909091,0,8,8.2071473564
1113621,10.823333333,3,12,1,0,7,6.4593599291
1113696,10.99,2,21,0,0,5,8.0194246612
1113738,11.646,5,1,0,0,8,6.5716162291
1113746,3.3233333333,3,4,0,0,7,5.3220139716
1113753,4.44,11,2,0,0,7,8.7361704516
1113845,6.99,1,45,0,0,4,3.6304128712
1113886,35.91,1,43,0,0,9,21.023579619
1113894,7.1321428571,14,3,0,0.0769230769,6,6.5061764257
1113902,6.708,5,6,0,0.6,7,2.1878837397
1113977,9.9766666667,3,11,0,0,7,5.2029059139
1114207,5.7222222222,9,1,0,0.2857142857,7,8.151224272
1114272,8.2233333333,3,9,0,0.6666666667,7,3.0445191282
1114280,5.09625,8,2,0,0,7,6.867124842
1114298,0.34,1,29,0,0,5,9.1353802169
1114389,3.3071428571,7,3,0,0.1428571429,7,6.1603141158
1114405,4.1566666667,3,6,1,0,7,3.5580914253
1114413,7.6763636364,11,0,0.4545454545,0.0909090909,6,9.6259885846
1114421,15.475,2,10,0,0,8,7.0435568445
1114439,5.32,15,4,0,0,6,5.9076918547
1114678,6.49,3,11,0,0,7,3.5547750183
1114686,3.59,12,2,0,0,6,8.8643222102
1114710,6.51125,8,6,0,0.25,7,3.705074604
1114868,4.39,6,4,1,0,7,4.6171105711
1114892,4.9766666667,9,6,0.1111111111,0.8888888889,7,4.7612892265
1114967,6.8442857143,7,18,0,0.4285714286,7,10.187813432
1114975,6.93,5,9,0,0,7,1.2435853166
1114983,6.58875,8,7,0,0.2857142857,7,3.2702165968
1115154,4.64,2,14,1,0,7,6.8564952175
1115238,5.2566666667,3,0,0.6666666667,0,7,8.3463813431
1115295,6.229,10,6,0,0.6666666667,7,5.4878576453
1115378,5.14,2,19,0,0.5,5,10.748868664
1115535,7.315,4,32,0.5,0,5,4.2263536942
1115600,5.586,10,2,0,0,7,7.9103197709
1115774,5.99,3,8,0,0,7,1.9676727903
1115808,5.59,22,5,0,0.2222222222,6,3.6688519308
1115972,14.72516129,31,0,0,0.2857142857,6,13.570544074
1116012,4.14,2,15,0,0,7,7.8165119698
