PANID,PANTYPE,PreTaxInc,FamSize,HH_Race,Type_Res_Poss,Male_Age,Male_Edu,Male_Occ,Male_Whc,Female_Age,Female_Edu,Female_Occ,Female_Whc,Dogs,Cats,Child_GC,Marital,TV_used,TV_hooked,Year,monetary,frequency,recency,loyality_tide,loyality_All,CLUSTER,DISTANCE
3114298,0,9,3,1,2,4,5,7,3,3,5,3,2,0,0,2,2,,,1,6,1,31,0,0,5,4.1837827547
3114611,6,7,4,1,2,3,4,6,2,2,6,6,3,0,0,4,2,2,2,1,4.534,5,29,0,0.4,5,5.6787957315
3114959,6,9,2,1,2,3,7,1,3,3,7,1,3,1,0,8,2,2,1,1,6.88,1,33,1,0,5,5.0281698744
3114975,6,3,3,1,1,7,9,11,5,3,5,7,3,0,0,2,1,1,1,1,9.43,2,27,1,0,5,1.9869349276
3114991,0,7,4,1,2,4,5,5,3,3,6,13,1,0,0,2,2,,,1,12.89,1,31,0,0,5,4.2554247609
3115444,6,11,4,1,2,4,8,1,3,2,8,1,3,0,0,4,2,2,2,1,3.99,2,19,0,0,5,11.246409189
3115949,6,6,2,1,2,2,6,2,3,2,5,4,3,1,0,8,2,2,1,1,4.89,1,19,0,0,5,10.898414901
3115956,6,7,4,1,2,2,5,7,3,2,6,13,1,1,0,1,2,4,4,1,4.89,1,19,0,0,5,10.898414901
3116004,6,12,4,1,1,3,6,1,3,3,4,13,1,0,2,2,2,2,2,1,12.58,1,25,1,0,5,5.1663216189
3116616,6,5,3,1,2,2,4,7,3,1,4,4,3,1,0,2,2,1,1,1,5.49,1,21,1,0,5,8.8719857597
3116830,6,10,5,1,2,4,5,1,3,3,4,8,3,0,2,3,2,4,4,1,7.4066666667,3,26,0,0,5,3.6060716363
3116996,6,8,1,1,1,7,9,11,5,2,7,1,3,1,0,8,1,2,2,1,5.36,2,21,0.5,0,5,8.8357090125
3117069,6,5,3,1,1,3,4,6,3,1,4,1,2,0,0,2,2,2,1,1,3.39,1,32,0,0,5,6.8820496942
3117143,6,9,6,1,2,3,7,1,3,3,7,13,1,0,0,7,2,1,2,1,4.38,3,33,0,0,5,6.5791926381
3117218,5,9,2,1,2,3,7,1,3,3,7,13,1,0,3,8,2,3,3,1,6.62,4,25,1,0,5,5.1622697462
3117606,5,10,2,1,2,3,6,2,3,3,7,4,3,1,0,8,2,2,2,1,7.62,3,26,0.6666666667,0,5,3.4994232702
